"","Date","Age","Race","Sex","region"
"1","2013-05-01",26,NA,"Male","michigan"
"2","2013-05-02",59,NA,"Male","texas"
"3","2013-05-02",40,NA,"Male","new york"
"4","2013-05-02",NA,"Black","Male","texas"
"5","2013-05-02",38,"Black","Male","oklahoma"
"6","2013-05-02",22,NA,"Male","indiana"
"7","2013-05-02",55,"Black","Male","california"
"8","2013-05-03",27,"Asian","Male","oregon"
"9","2013-05-03",32,"Asian","Male","california"
"10","2013-05-04",38,NA,"Male","florida"
"11","2013-05-04",21,"Black","Male","florida"
"12","2013-05-05",16,"Black","Male","illinois"
"13","2013-05-05",46,"Black","Male","virginia"
"14","2013-05-05",29,"Latin","Male","california"
"15","2013-05-06",30,NA,NA,"oklahoma"
"16","2013-05-06",28,"White","Male","utah"
"17","2013-05-06",53,NA,"Male","new york"
"18","2013-05-07",30,"Latin","Male","florida"
"19","2013-05-07",NA,"Latin","Male","florida"
"20","2013-05-08",37,"Black","Female","maryland"
"21","2013-05-08",29,"White","Male","montana"
"22","2013-05-08",54,"Black","Female","illinois"
"23","2013-05-08",33,"White","Male","california"
"24","2013-05-09",38,"White","Female","texas"
"25","2013-05-09",38,"Black","Male","florida"
"26","2013-05-09",58,"Latin","Male","florida"
"27","2013-05-10",19,NA,"Male","california"
"28","2013-05-10",24,"Latin","Male","minnesota"
"29","2013-05-10",22,"Black","Male","minnesota"
"30","2013-05-10",43,NA,"Male","indiana"
"31","2013-05-10",45,NA,"Male","illinois"
"32","2013-05-10",21,NA,"Male","pennsylvania"
"33","2013-05-11",34,NA,NA,"california"
"34","2013-05-11",49,NA,"Male","missouri"
"35","2013-05-11",28,"White","Male","nebraska"
"36","2013-05-11",21,"White","Male","california"
"37","2013-05-11",29,NA,"Male","missouri"
"38","2013-05-12",38,"Black","Male","new jersey"
"39","2013-05-13",38,"White","Male","georgia"
"40","2013-05-14",50,NA,"Female","florida"
"41","2013-05-15",37,"Latin","Male","california"
"42","2013-05-15",47,"Latin","Male","california"
"43","2013-05-15",44,"Black","Male","massachusetts"
"44","2013-05-15",39,"White","Male","colorado"
"45","2013-05-16",33,"White","Male","california"
"46","2013-05-16",64,"White","Male","ohio"
"47","2013-05-16",52,"Latin","Male","connecticut"
"48","2013-05-16",21,"White","Male","washington"
"49","2013-05-17",33,"White","Female","north carolina"
"50","2013-05-17",28,NA,"Female","washington"
"51","2013-05-17",25,"Black","Male","california"
"52","2013-05-17",35,"Asian","Male","california"
"53","2013-05-17",34,"Black","Male","texas"
"54","2013-05-18",22,NA,"Male","arizona"
"55","2013-05-18",46,"Black","Male","california"
"56","2013-05-18",30,NA,NA,"new york"
"57","2013-05-18",21,"White","Female","new york"
"58","2013-05-18",43,"White","Male","wisconsin"
"59","2013-05-19",43,"White","Male","wyoming"
"60","2013-05-20",30,"Black","Male","tennessee"
"61","2013-05-20",22,"Black","Male","virginia"
"62","2013-05-21",18,NA,NA,"california"
"63","2013-05-21",29,NA,"Male","california"
"64","2013-05-21",44,"Latin","Male","california"
"65","2013-05-21",28,"Latin","Male","texas"
"66","2013-05-21",26,"Black","Male","virginia"
"67","2013-05-21",50,"Black","Male","california"
"68","2013-05-22",22,"Black","Male","virginia"
"69","2013-05-22",27,"White","Male","florida"
"70","2013-05-23",27,"Black","Male","california"
"71","2013-05-23",43,"Black","Male","ohio"
"72","2013-05-24",58,NA,NA,"alaska"
"73","2013-05-24",75,"White","Male","connecticut"
"74","2013-05-24",30,"Black","Male","washington"
"75","2013-05-24",47,NA,"Male","california"
"76","2013-05-25",49,NA,"Male","montana"
"77","2013-05-25",21,"Black","Male","south carolina"
"78","2013-05-25",26,"Black","Male","michigan"
"79","2013-05-25",49,"White","Male","indiana"
"80","2013-05-25",39,"White","Male","utah"
"81","2013-05-25",23,NA,"Male","pennsylvania"
"82","2013-05-25",42,"White","Male","california"
"83","2013-05-26",23,"White","Male","north carolina"
"84","2013-05-26",32,"Black","Male","missouri"
"85","2013-05-26",NA,"White","Male","new york"
"86","2013-05-27",NA,NA,"Male","california"
"87","2013-05-27",36,NA,"Male","colorado"
"88","2013-05-28",31,"White","Male","pennsylvania"
"89","2013-05-28",72,"White","Male","texas"
"90","2013-05-29",62,"White","Male","montana"
"91","2013-05-29",22,"Black","Male","california"
"92","2013-05-29",29,NA,"Male","washington"
"93","2013-05-29",38,"Asian","Female","virginia"
"94","2013-05-29",34,"Black","Male",NA
"95","2013-05-29",37,"White","Female","tennessee"
"96","2013-05-30",24,"Latin","Male","arizona"
"97","2013-05-30",26,"Latin","Male","california"
"98","2013-05-30",47,NA,"Male","massachusetts"
"99","2013-05-30",22,"Black","Male","pennsylvania"
"100","2013-05-31",54,"White","Male","north carolina"
"101","2013-06-01",26,NA,"Male","arizona"
"102","2013-06-01",21,"White","Male","california"
"103","2013-06-01",48,"White","Male","washington"
"104","2013-06-01",21,"Latin","Male","texas"
"105","2013-06-02",33,"Black","Male","indiana"
"106","2013-06-02",55,NA,"Male","colorado"
"107","2013-06-02",34,"Latin","Male","california"
"108","2013-06-02",38,"Latin","Male","massachusetts"
"109","2013-06-03",60,"White","Male","colorado"
"110","2013-06-03",25,"Latin","Male","california"
"111","2013-06-04",32,NA,"Male","mississippi"
"112","2013-06-04",25,"Latin","Male","california"
"113","2013-06-04",40,NA,"Male","california"
"114","2013-06-04",51,"Black","Male","texas"
"115","2013-06-04",32,"White","Male","texas"
"116","2013-06-04",16,"White","Male","missouri"
"117","2013-06-05",57,NA,"Male","maryland"
"118","2013-06-05",35,"White","Male","hawaii"
"119","2013-06-05",22,"Black","Male","michigan"
"120","2013-06-06",67,"White","Male","north carolina"
"121","2013-06-06",46,"Black","Female","new york"
"122","2013-06-06",37,"White","Male","california"
"123","2013-06-06",36,NA,"Male","california"
"124","2013-06-07",27,"White","Male","texas"
"125","2013-06-07",34,"White","Male","washington"
"126","2013-06-07",34,"Black","Male","georgia"
"127","2013-06-07",37,"White","Male","texas"
"128","2013-06-07",23,"Other","Male","california"
"129","2013-06-07",40,NA,"Male","nevada"
"130","2013-06-07",40,"Black","Male","florida"
"131","2013-06-08",51,NA,"Female","california"
"132","2013-06-08",24,"Black","Male","texas"
"133","2013-06-08",57,NA,"Male","california"
"134","2013-06-08",40,NA,"Male","florida"
"135","2013-06-08",21,"White","Male","virginia"
"136","2013-06-08",48,"Latin","Male","california"
"137","2013-06-08",24,NA,"Male","arizona"
"138","2013-06-09",21,NA,"Male","alabama"
"139","2013-06-09",19,NA,"Male","california"
"140","2013-06-09",48,"White","Male","oklahoma"
"141","2013-06-09",36,"White","Male","new jersey"
"142","2013-06-10",51,NA,NA,"new jersey"
"143","2013-06-10",48,"White","Male","florida"
"144","2013-06-10",35,"White","Male","pennsylvania"
"145","2013-06-10",44,"Latin","Male","connecticut"
"146","2013-06-10",28,"White","Male","illinois"
"147","2013-06-10",21,"White","Male","maine"
"148","2013-06-10",34,"White","Male","georgia"
"149","2013-06-10",24,"Black","Male","florida"
"150","2013-06-11",23,"Black","Male","wisconsin"
"151","2013-06-11",26,"White","Male","minnesota"
"152","2013-06-12",54,NA,"Male","california"
"153","2013-06-12",26,"White","Male","idaho"
"154","2013-06-12",26,NA,"Male","california"
"155","2013-06-13",39,"White","Male","wisconsin"
"156","2013-06-13",27,"White","Male","california"
"157","2013-06-14",41,"White","Male","massachusetts"
"158","2013-06-15",25,"Latin","Male","nebraska"
"159","2013-06-15",38,NA,"Male","florida"
"160","2013-06-15",32,"Black","Male","california"
"161","2013-06-15",61,"White","Male","colorado"
"162","2013-06-16",21,"Latin","Male","texas"
"163","2013-06-16",33,"Black","Male","florida"
"164","2013-06-16",53,NA,"Male","california"
"165","2013-06-16",21,NA,"Male","illinois"
"166","2013-06-17",37,"Black","Male","oklahoma"
"167","2013-06-17",41,"White","Male","texas"
"168","2013-06-17",60,NA,"Male","indiana"
"169","2013-06-17",45,"White","Male","missouri"
"170","2013-06-17",34,"Black","Male","texas"
"171","2013-06-17",54,"White","Male","florida"
"172","2013-06-17",48,"Black","Male","florida"
"173","2013-06-17",15,"Black","Male","illinois"
"174","2013-06-18",17,"White","Male","alabama"
"175","2013-06-18",25,"Latin","Male","california"
"176","2013-06-18",41,"Black","Male","virginia"
"177","2013-06-18",48,"Black","Male","south carolina"
"178","2013-06-19",40,"Black","Male","north carolina"
"179","2013-06-19",46,NA,"Male","washington"
"180","2013-06-19",17,"Black","Male","north carolina"
"181","2013-06-19",28,NA,"Male","washington"
"182","2013-06-19",59,NA,"Male","rhode island"
"183","2013-06-19",NA,NA,"Male","new york"
"184","2013-06-20",44,"Latin","Male","texas"
"185","2013-06-20",62,"White","Male","montana"
"186","2013-06-20",28,NA,"Male","louisiana"
"187","2013-06-20",46,"Black","Male","oklahoma"
"188","2013-06-20",39,"Black","Male","wisconsin"
"189","2013-06-20",52,"Latin","Male","new york"
"190","2013-06-21",21,"White","Male","tennessee"
"191","2013-06-21",46,"White","Male","west virginia"
"192","2013-06-21",20,NA,"Male","arizona"
"193","2013-06-23",24,"Latin","Male","california"
"194","2013-06-23",35,"Latin","Male","california"
"195","2013-06-23",37,NA,"Male","texas"
"196","2013-06-23",26,"Black","Male","mississippi"
"197","2013-06-24",38,"Black","Male","ohio"
"198","2013-06-24",56,NA,"Male","oregon"
"199","2013-06-24",43,"White","Male","florida"
"200","2013-06-24",26,"Latin","Male","texas"
"201","2013-06-24",31,"White","Female","texas"
"202","2013-06-25",34,NA,"Male","california"
"203","2013-06-25",34,"Black","Male","maryland"
"204","2013-06-25",26,NA,"Male","alaska"
"205","2013-06-26",46,NA,"Female","florida"
"206","2013-06-26",33,NA,"Male","california"
"207","2013-06-26",30,"White","Male","california"
"208","2013-06-26",66,"White","Male","west virginia"
"209","2013-06-27",34,NA,"Male","minnesota"
"210","2013-06-27",80,"White","Male","california"
"211","2013-06-27",22,"Black","Male","california"
"212","2013-06-28",64,"White","Male","arkansas"
"213","2013-06-28",48,"White","Male","texas"
"214","2013-06-29",25,NA,"Male","california"
"215","2013-06-29",32,"Asian","Male","texas"
"216","2013-06-29",21,"Black","Male","california"
"217","2013-06-29",46,NA,"Male","new york"
"218","2013-06-29",50,"White","Male","pennsylvania"
"219","2013-06-29",16,"Latin","Male","texas"
"220","2013-06-30",39,"Black","Male","georgia"
"221","2013-06-30",34,"Latin","Male","california"
"222","2013-06-30",62,"Latin","Male","florida"
"223","2013-07-01",33,NA,"Male","tennessee"
"224","2013-07-02",20,"Black","Male","north carolina"
"225","2013-07-02",37,"Latin","Male","texas"
"226","2013-07-02",33,NA,"Male","california"
"227","2013-07-02",27,"White","Male","massachusetts"
"228","2013-07-02",35,NA,"Male","california"
"229","2013-07-02",76,NA,"Male","wisconsin"
"230","2013-07-03",54,NA,"Female","oregon"
"231","2013-07-03",34,"White","Male","arkansas"
"232","2013-07-03",23,"White","Male","massachusetts"
"233","2013-07-04",37,"Black","Male","california"
"234","2013-07-04",17,"Black","Male","illinois"
"235","2013-07-04",30,"White","Male","ohio"
"236","2013-07-04",26,"White","Male","maine"
"237","2013-07-04",31,"Asian","Male","texas"
"238","2013-07-05",39,"White","Male","florida"
"239","2013-07-05",42,"White","Male","montana"
"240","2013-07-05",28,"White","Male","washington"
"241","2013-07-05",53,"Latin","Male","michigan"
"242","2013-07-05",57,NA,"Male","iowa"
"243","2013-07-06",27,"Asian","Male","california"
"244","2013-07-06",84,NA,"Male","west virginia"
"245","2013-07-06",66,"Black","Male","new mexico"
"246","2013-07-06",59,"White","Male","north carolina"
"247","2013-07-07",29,"White","Male","california"
"248","2013-07-07",33,"Latin","Male","texas"
"249","2013-07-07",61,"White","Male","new york"
"250","2013-07-07",30,"Black","Male","kentucky"
"251","2013-07-07",34,NA,"Male","arizona"
"252","2013-07-08",52,NA,"Male","illinois"
"253","2013-07-08",51,NA,NA,"california"
"254","2013-07-08",51,"Black","Male","florida"
"255","2013-07-08",55,"White","Male","pennsylvania"
"256","2013-07-09",46,NA,"Male","california"
"257","2013-07-09",42,"Latin","Male","arizona"
"258","2013-07-09",30,"White","Male","new jersey"
"259","2013-07-09",50,"White","Male","georgia"
"260","2013-07-09",27,"White","Male","pennsylvania"
"261","2013-07-10",36,"Black","Male","utah"
"262","2013-07-10",NA,NA,"Male","texas"
"263","2013-07-10",30,"White","Male","florida"
"264","2013-07-11",40,"Black","Male","missouri"
"265","2013-07-11",31,"Latin","Male","arizona"
"266","2013-07-12",42,"White","Male","california"
"267","2013-07-12",24,"White","Male","kansas"
"268","2013-07-12",27,"White","Male","nevada"
"269","2013-07-12",24,"Black","Male","oklahoma"
"270","2013-07-13",25,"White","Male","indiana"
"271","2013-07-14",39,"Latin","Male","indiana"
"272","2013-07-14",24,"White","Male","texas"
"273","2013-07-15",26,"Black","Male","arkansas"
"274","2013-07-16",37,"White","Male","california"
"275","2013-07-16",68,"White","Female","pennsylvania"
"276","2013-07-16",39,"Black","Male","florida"
"277","2013-07-16",33,"White","Male","colorado"
"278","2013-07-16",19,"Black","Male","texas"
"279","2013-07-17",38,"White","Male","california"
"280","2013-07-18",54,"White","Male","kentucky"
"281","2013-07-18",24,"Black","Male","california"
"282","2013-07-18",23,"Black","Male","florida"
"283","2013-07-18",19,"Latin","Male","texas"
"284","2013-07-19",29,NA,"Male","california"
"285","2013-07-19",62,"White","Male","illinois"
"286","2013-07-19",46,"White","Male","pennsylvania"
"287","2013-07-19",44,"Black","Male","maryland"
"288","2013-07-19",42,"Black","Male","california"
"289","2013-07-20",34,"Asian","Male","south carolina"
"290","2013-07-20",24,NA,"Male","georgia"
"291","2013-07-20",47,"Black","Male","california"
"292","2013-07-21",28,"White","Male","north carolina"
"293","2013-07-21",49,"White","Male","maryland"
"294","2013-07-22",21,"Black","Male","pennsylvania"
"295","2013-07-22",28,"Black","Male","delaware"
"296","2013-07-23",40,NA,"Male","washington"
"297","2013-07-24",43,"White","Male","arizona"
"298","2013-07-24",40,"Latin","Male","iowa"
"299","2013-07-24",35,"Asian","Male","nevada"
"300","2013-07-25",29,"Black","Male","new york"
"301","2013-07-25",32,"White","Male","ohio"
"302","2013-07-25",42,"Latin","Male","california"
"303","2013-07-26",30,"Latin","Male","california"
"304","2013-07-26",32,"Black","Male","texas"
"305","2013-07-26",49,NA,"Male","north carolina"
"306","2013-07-27",52,NA,NA,"pennsylvania"
"307","2013-07-27",43,"Latin","Male","florida"
"308","2013-07-27",33,"Latin","Male","north carolina"
"309","2013-07-27",95,"White","Male","illinois"
"310","2013-07-28",49,NA,"Male","texas"
"311","2013-07-28",32,"Black","Male","louisiana"
"312","2013-07-28",25,"Black","Male","kansas"
"313","2013-07-28",20,"White","Male","pennsylvania"
"314","2013-07-29",29,"Black","Male","alabama"
"315","2013-07-29",40,"White","Female","florida"
"316","2013-07-29",30,NA,"Male","arizona"
"317","2013-07-29",28,"White","Male","ohio"
"318","2013-07-29",56,NA,"Male","kansas"
"319","2013-07-29",31,"White","Male","texas"
"320","2013-07-29",41,NA,"Male","illinois"
"321","2013-07-30",37,"Black","Male","louisiana"
"322","2013-07-30",21,"White","Male","washington"
"323","2013-07-30",19,NA,"Male","arizona"
"324","2013-07-30",29,"White","Male","arkansas"
"325","2013-07-30",22,"Latin","Male","california"
"326","2013-07-30",38,"Latin","Male","texas"
"327","2013-07-31",33,"Black","Male","florida"
"328","2013-07-31",42,"White","Male","ohio"
"329","2013-08-01",19,"Latin","Male","texas"
"330","2013-08-03",26,"Latin","Male","california"
"331","2013-08-03",32,"White","Male","oklahoma"
"332","2013-08-04",41,"White","Male","arizona"
"333","2013-08-04",49,NA,"Male","arizona"
"334","2013-08-04",28,"White","Male","oklahoma"
"335","2013-08-04",14,"Black","Male","new york"
"336","2013-08-05",54,"Latin","Male","new mexico"
"337","2013-08-06",35,"Latin","Male","arizona"
"338","2013-08-06",NA,NA,"Male","texas"
