"","region","Population"
"1","alabama",4849377
"2","alaska",736732
"3","arizona",6731484
"4","arkansas",2966369
"5","california",38802500
"6","colorado",5355866
"7","connecticut",3596677
"8","delaware",935614
"9","florida",19893297
"10","georgia",10097343
"11","hawaii",1419561
"12","idaho",1634464
"13","illinois",12880580
"14","indiana",6596855
"15","iowa",3107126
"16","kansas",2904021
"17","kentucky",4413457
"18","louisiana",4649676
"19","maine",1330089
"20","maryland",5976407
"21","massachusetts",6745408
"22","michigan",9909877
"23","minnesota",5457173
"24","mississippi",2994079
"25","missouri",6063589
"26","montana",1023579
"27","nebraska",1881503
"28","nevada",2839099
"29","new hampshire",1326813
"30","new jersey",8938175
"31","new mexico",2085572
"32","new york",19746227
"33","north carolina",9943964
"34","north dakota",739482
"35","ohio",11594163
"36","oklahoma",3878051
"37","oregon",3970239
"38","pennsylvania",12787209
"39","rhode island",1055173
"40","south carolina",4832482
"41","south dakota",853175
"42","tennessee",6549352
"43","texas",26956958
"44","utah",2942902
"45","vermont",626562
"46","virginia",8326289
"47","washington",7061530
"48","west virginia",1850326
"49","wisconsin",5757564
"50","wyoming",584153
